816 	673 	513 	568 	585 	563 	967 	633 	781 	603 	560 	912 	941 	960 	986 	596 	537 	609 	623 	772
770 	899 	953 	842 	653 	846 	822 	877 	844 	804 	710 	785 	605 	939 	619 	543 	550 	776 	570 	881
865 	580 	953 	757 	545 	616 	527 	638 	512 	616 	976 	546 	964 	583 	908 	720 	690 	991 	886 	869
872 	805 	937 	787 	594 	620 	625 	612 	665 	752 	945 	888 	838 	759 	988 	505 	628 	830 	1000 	766
760 	885 	518 	936 	870 	926 	586 	521 	991 	820 	778 	737 	892 	732 	729 	716 	946 	923 	713 	767
729 	790 	846 	673 	573 	936 	952 	828 	930 	769 	835 	906 	887 	845 	537 	972 	682 	834 	867 	740
856 	752 	774 	756 	846 	984 	990 	560 	726 	857 	754 	823 	663 	722 	894 	809 	717 	624 	889 	780
635 	653 	558 	851 	735 	931 	811 	585 	593 	612 	938 	707 	516 	684 	795 	832 	870 	759 	974 	975
552 	524 	772 	619 	688 	799 	775 	860 	575 	908 	958 	649 	580 	667 	637 	879 	655 	670 	888 	759
825 	676 	541 	676 	512 	764 	966 	571 	936 	821 	631 	843 	958 	973 	971 	996 	847 	957 	930 	970
549 	851 	801 	536 	913 	835 	916 	642 	608 	940 	801 	886 	929 	743 	851 	538 	717 	606 	1000 	898
870 	974 	747 	865 	960 	964 	552 	860 	721 	684 	842 	830 	535 	981 	935 	984 	605 	765 	900 	935
590 	537 	954 	801 	649 	957 	525 	864 	528 	983 	547 	564 	861 	780 	775 	962 	816 	570 	641 	684
695 	870 	833 	552 	953 	704 	547 	989 	749 	619 	507 	717 	679 	783 	708 	922 	926 	987 	846 	699
835 	564 	536 	712 	955 	541 	609 	984 	962 	710 	544 	977 	951 	629 	892 	764 	884 	590 	869 	989
1501 	1855 	1180 	1290 	1292 	1483 	1549 	1227 	1376 	1461 	1849 	1332 	1719 	1172 	1878 	1091 	1551 	1567 	1729 	1424
1272 	1232 	1627 	1596 	1309 	1084 	1279 	1941 	1941 	1367 	1008 	1017 	1937 	1423 	1343 	1050 	1545 	1970 	1308 	1091
1439 	1728 	1777 	1375 	1611 	1190 	1933 	1912 	1549 	1369 	1014 	1093 	1895 	1834 	1502 	1893 	1870 	1114 	1830 	1163
1309 	1597 	1674 	1043 	1730 	1304 	1727 	1039 	1168 	1403 	1291 	1842 	1037 	1928 	1965 	1563 	1425 	1237 	1975 	1777
1601 	1212 	1305 	1674 	1120 	1358 	1889 	1921 	1686 	1647 	1937 	1992 	1479 	1508 	1490 	1132 	1066 	1802 	1320 	1907
1342 	1064 	1249 	1812 	1675 	1352 	1890 	1443 	1190 	1097 	1873 	1004 	1038 	1819 	1799 	1537 	1234 	1888 	1548 	1224
1561 	1621 	1122 	1211 	1875 	1808 	1441 	1918 	1284 	1759 	1395 	1024 	1541 	1003 	1753 	1928 	1402 	1089 	1299 	1303
1646 	1755 	1716 	1851 	1216 	1483 	1657 	1332 	1518 	1689 	1299 	1683 	1304 	1477 	1437 	1237 	1076 	1725 	1476 	1030
2463 	2001 	2421 	2019 	2059 	2531 	2978 	2821 	2761 	2730 	2488 	2922 	2882 	2319 	2129 	2749 	2192 	2880 	2967 	2621
2627 	2669 	2028 	2117 	2479 	2180 	2073 	2155 	2215 	2580 	2434 	2399 	2548 	2080 	2823 	2656 	2688 	2641 	2790 	2484

