982 	2309 	2341 	880 	2279 	2164 	2391 	1445 	2972 	2888 	599 	2369 	2544 	1490 	2873 	2285 	1920 	1455 	2938 	2437
807 	1925 	2231 	2395 	2922 	1034 	1027 	1053 	2881 	2760 	1957 	850 	1181 	1717 	2125 	2017 	2107 	2918 	1727 	1909
1889 	1819 	1376 	2867 	2662 	1617 	2765 	2300 	707 	2013 	795 	506 	2728 	1096 	1678 	2199 	2190 	2151 	1123 	2029
2823 	2015 	761 	2835 	2765 	2096 	2207 	1995 	1990 	1835 	2525 	2330 	2890 	2895 	1627 	1980 	1232 	1715 	915 	1149
938 	2446 	2668 	638 	1008 	523 	2675 	2182 	811 	644 	508 	2230 	621 	1545 	2363 	1516 	998 	2785 	2929 	2333
2911 	1638 	2128 	2289 	2667 	2653 	791 	825 	1514 	2518 	2594 	2951 	2536 	1836 	2978 	653 	898 	2086 	694 	559
937 	2736 	2789 	2057 	2963 	1734 	2699 	688 	618 	843 	2514 	2342 	873 	1788 	2712 	1008 	1370 	767 	2947 	1181
2043 	2485 	1905 	1845 	1144 	2007 	2252 	1576 	1181 	2453 	1144 	2703 	1665 	2431 	1249 	2217 	1804 	1088 	2587 	1339
1971 	2481 	1308 	1365 	2568 	1819 	1558 	2642 	2913 	2830 	812 	2464 	1237 	1289 	2355 	627 	1755 	2964 	2576 	1175
868 	1609 	2833 	1287 	733 	1895 	2054 	1585 	1210 	2204 	2838 	2011 	1333 	650 	1829 	2275 	2575 	1788 	1846 	2885
1402 	510 	2124 	1724 	1334 	1386 	1728 	1516 	759 	1995 	2868 	610 	2171 	830 	1193 	810 	1518 	2929 	605 	1788
2595 	2561 	1026 	1433 	2051 	1843 	1178 	2530 	1123 	2720 	2714 	2985 	2533 	2604 	683 	2145 	1441 	1140 	608 	2840
1830 	2958 	2037 	1384 	550 	1423 	1355 	2693 	2199 	2585 	2020 	2672 	2256 	1832 	2370 	828 	1363 	2832 	2575 	2665
645 	2580 	955 	1781 	1527 	2693 	2858 	586 	785 	1602 	1141 	2801 	2804 	1407 	2679 	2885 	2771 	1186 	1959 	900
2002 	986 	540 	2733 	1014 	1500 	2299 	2736 	2668 	1155 	2094 	1740 	2968 	2074 	982 	651 	2364 	943 	2486 	2210
1824 	2465 	1935 	1580 	1671 	1551 	2855 	2842 	1031 	2462 	1719 	1859 	1229 	2195 	1542 	1868 	2533 	1964 	2266 	1006
1830 	2254 	1019 	1508 	698 	2727 	2570 	1383 	2220 	1110 	1544 	2920 	1709 	1175 	2066 	2113 	2955 	1362 	1703 	1047
