1980 	8045 	2536 	8044 	2830 	2851 	2763 	1572 	2088 	2457 	4258 	2139 	1254 	5561 	703 	9317 	8303 	1728 	8732 	754
1895 	2922 	2801 	1755 	1310 	1304 	691 	2616 	8969 	6369 	2747 	2990 	9109 	2171 	2028 	1647 	1341 	2772 	9166 	2149
9707 	2103 	2666 	690 	9351 	1122 	591 	549 	504 	1669 	1994 	641 	2826 	8772 	2366 	2117 	2047 	1611 	843 	2329
1378 	2581 	2147 	2115 	2348 	1845 	8915 	541 	2770 	2928 	1544 	2123 	8924 	2520 	1741 	2700 	2815 	2737 	1858 	964
2468 	2947 	8779 	6421 	2388 	9512 	7630 	734 	2133 	1943 	725 	1990 	1974 	1809 	9008 	9527 	2320 	1910 	2462 	2770
1468 	1701 	721 	2023 	1650 	2121 	900 	1712 	1812 	2660 	9353 	1329 	2181 	2264 	2661 	2691 	1777 	1047 	8447 	7602
2792 	1988 	2505 	1782 	860 	781 	605 	2634 	2574 	4828 	9271 	4946 	704 	8820 	2335 	978 	1165 	1591 	2078 	2479
1459 	639 	5479 	2518 	2074 	2155 	1602 	2835 	8789 	628 	797 	2983 	2297 	8359 	1506 	2388 	2332 	2681 	1087 	1356
2593 	6802 	2542 	757 	1397 	6813 	1597 	2842 	1523 	1837 	1532 	738 	1566 	508 	8948 	610 	9340 	1519 	2565 	2898
8033 	2980 	8037 	1507 	8819 	1470 	1451 	2664 	1178 	650 	1083 	2067 	1253 	2251 	8919 	2743 	1049 	2740 	1733 	852
2204 	2743 	4471 	942 	518 	2351 	8729 	9194 	1888 	690 	1399 	2793 	2711 	788 	1851 	1564 	816 	9984 	1328 	2933
916 	558 	2437 	2989 	2276 	2950 	1684 	2626 	581 	2536 	860 	8605 	1861 	1827 	574 	2386 	699 	2590 	2185 	594
936 	1935 	705 	2748 	991 	1272 	1911 	3772 	849 	2990 	1100 	1754 	2045 	1764 	2400 	1074 	2821 	2964 	733 	1515
2590 	7943 	8303 	1870 	2362 	2180 	2887 	1156 	2164 	1883 	9497 	2926 	1369 	8977 	2873 	1118 	2192 	936 	2469 	9606
2129 	1863 	1245 	1085 	2255 	1091 	617 	1506 	1217 	1665 	9695 	2750 	9523 	1241 	1212 	910 	1374 	2431 	6494 	600
